vehicle_id,origin,destination
129,42680,43605
130,72091,54804
131,38046,30490
132,11078,37284
133,89271,45824
134,41131,51643
135,81007,94769
136,49103,90155
137,96028,30512
138,76652,38809
139,70443,88985
140,44435,54804
141,77535,33305
142,29998,45341
143,93291,51198
144,37173,54625
145,72343,42049
146,103470,41086
147,91669,36603
148,76821,87235
149,41968,82453
150,37066,73162
151,9754,70893
152,86836,46797
153,16747,49933
154,66189,93695
155,50684,88586
156,98537,79303
157,69278,30511
158,52118,65429
159,30491,91627
160,21065,52128
161,78190,30376
162,85292,88502
163,84949,43166
164,67435,97034
165,53756,74946
166,43321,63854
167,62627,33937
168,75695,35448
169,93233,95090
170,53075,75048
171,49835,43211
172,73732,70722
173,87056,53029
174,96359,37131
175,14361,30512
176,40769,30379
177,91654,91572
178,72882,78153
179,94608,72882
180,34859,84642
181,25558,39209
182,106655,88107
183,65522,84525
184,66939,95086
185,88025,78420
186,67714,88318
187,46935,35033
188,92872,10168
189,52575,53431
190,39315,44462
191,79837,52118
192,45736,91574
193,95335,33385
194,40768,95831
195,89407,96781
196,6885,93176
197,33369,94722
198,102600,35790
199,98633,80395
200,27281,39930
201,88188,45227
202,96455,98636
203,95925,44345
204,49468,88314
205,24848,73164
206,114005,35959
207,51671,98154
208,75819,49879
209,62028,91155
210,120028,47791
211,28691,93873
212,103758,32695
213,90672,75511
214,44681,78951
215,57783,35799
216,99575,98786
217,42835,73918
218,76644,85743
219,65463,52635
220,98875,39028
221,38121,38063
222,73816,85310
223,44006,93214
224,94608,40081
225,107431,43077
226,53543,30990
227,45419,77269
228,67316,95932
229,85251,30236
230,95255,97313
231,91841,84921
232,85098,91167
233,53629,81328
234,84234,52254
235,91874,52899
236,65667,31365
237,85607,78961
238,31597,93114
239,41450,47813
240,90665,72842
241,88915,75953
242,81754,84489
243,63861,54269
244,63708,85216
245,48348,37163
246,63029,52100
247,64323,46237
248,72367,89852
249,96677,98043
250,5350,84078
251,76979,30653
252,60656,92984
253,79887,34736
254,65440,34274
255,65471,52635
256,48516,41178
257,27061,49965
258,73016,99804
259,80249,77331
260,80393,80393
261,66555,32036
262,42139,37184
263,86371,46368
264,108328,35046
265,53556,96985
266,115252,82177
267,73220,96438
268,107452,48400
269,77110,29976
270,95201,73074
271,38338,78744
272,99036,34145
273,90724,47772
274,66005,51668
275,81218,93578
276,15261,99227
277,54556,45287
278,67709,51378
279,72099,49735
280,76635,49812
281,27587,32894
282,35937,82466
283,60648,35788
284,43498,45050
285,73175,39726
286,76982,45027
287,116008,82388
288,75584,77295
289,91307,81210
290,40186,75596
291,84860,94591
292,55308,53801
293,92643,68603
294,87170,82367
295,77656,72099
296,70582,92663
297,67269,73849
298,10499,35190
299,41288,74477
300,96616,93244
301,97198,45239
302,77539,53066
303,44082,52513
304,85505,71152
305,88197,99315
306,49495,35783
307,89223,94209
308,76897,30236
309,118773,98787
310,75443,31715
311,75584,73309
312,80999,32977
313,78950,48416
314,94045,45430
315,9600,46442
316,72177,84494
317,56816,47855
318,51123,53900
319,117640,78785
320,82394,85137
321,93426,72869
322,38135,80288
323,37641,86339
324,32001,44260
325,43851,96415
326,66272,73770
327,39617,94722
328,98091,38084
329,97282,85800
330,75497,24052
331,30562,84298
332,52577,47661
333,49125,93733
334,34850,96235
335,44403,74377
336,64920,76527
337,31806,45367
338,80428,79023
339,119285,97437
340,45419,68073
341,41995,52356
342,90672,86084
343,59062,54508
344,85521,50422
345,76963,73774
346,43491,44923
347,53787,72869
348,7400,40616
349,73738,78869
350,98889,42013
351,49789,32784
352,53370,75454
353,39607,46101
354,67404,39720
355,41408,91531
356,68605,96107
357,65840,38686
358,51590,84665
359,98399,52302
360,51259,76740
361,35534,71553
362,67493,47411
363,54864,87447
364,80944,79618
365,97571,44265
366,97529,77046
367,79834,47091
368,91037,46856
369,67745,75871
370,83862,80800
371,30200,43515
372,99239,76919
373,89318,48790
374,94722,33515
375,89985,56383
376,45007,96596
377,61201,81386
378,93291,30200
379,30491,43951
380,93091,29995
381,45198,72346
382,31700,77675
383,68317,80826
384,102509,30236
385,99623,31433
386,42332,88667
387,99801,54212
388,38428,99498
389,91685,84373
390,91305,96107
391,32865,42997
392,34997,48841
393,86087,72841
394,67444,88814
395,77398,87046
396,75871,98427
397,70348,37660
398,80974,52898
399,51858,34553
400,99339,96467
401,93947,74647
402,63416,89688
403,68039,81662
404,43272,48178
405,97690,79146
406,91441,30262
407,68651,97120
408,37953,80407
409,86870,72419
410,44537,44371
411,58010,46721
412,66919,51110
413,83334,86293
414,50627,92666
415,54392,96235
416,88200,70930
417,63853,72095
418,91326,44754
419,40908,74800
420,48893,90859
421,67492,75839
422,40760,92271
423,17445,84645
424,77130,97592
425,54544,48416
426,52311,52554
427,88605,53730
428,77170,54348
429,47615,50982
430,48997,30434
431,70511,54288
432,77130,96677
433,45021,44124
434,101651,80407
435,84968,86739
436,81313,37727
437,80974,46292
438,63571,94724
439,66472,37002
440,39998,75790
441,44157,33138
442,30543,81388
443,38791,92271
444,80843,34677
445,72419,81811
446,68457,53932
447,75783,48626
448,84255,36252
449,52356,30379
450,98486,72512
451,32601,43957
452,37865,84422
453,72512,42919
454,67412,31062
455,77415,70929
456,77279,89842
457,38104,32379
458,26953,79744
459,34934,90541
460,33287,81007
461,43096,87235
462,91468,78491
463,85496,84505
464,32980,32001
465,63002,48230
466,85298,52490
467,44996,71029
468,85012,50773
469,64846,99508
470,51711,88427
471,91974,52095
472,83507,48047
473,84839,71772
474,96781,35300
475,27807,73190
476,48540,37224
477,25558,36848
478,42680,33818
479,37384,82003
480,15675,73624
481,84480,53130
482,99207,51748
483,47562,72873
484,119861,53474
485,33720,96677
486,90142,41178
487,63629,32980
488,77075,44193
489,50611,40352
490,75099,36054
491,50733,85681
492,88660,48425
493,50860,80407
494,68119,88418
495,76823,86433
496,97662,48400
497,44389,72812
498,10708,52294
499,37291,40873
500,38538,30793
501,84976,62169
502,92423,73944
503,56822,72863
504,52277,96547
505,34815,45534
506,30199,37709
507,91931,49048
508,99383,46516
509,48156,41634
510,94071,43915
511,45828,72882
512,49636,80857
513,99283,46854
514,81911,85809
515,45939,88310
516,82630,82536
517,94272,52533
518,13084,39665
519,13520,70952
520,65280,73322
521,27755,92810
522,69589,46358
523,85695,78216
524,67543,46515
525,92381,96063
526,40911,45407
527,51667,78827
528,80391,72516
529,92830,50182
530,67890,30355
531,45213,52300
532,80878,38067
533,41391,88723
534,65272,99047
535,88178,77008
536,40518,40121
537,98972,42652
538,48459,35521
539,33796,33784
540,79851,93067
541,100426,47157
542,49359,44377
543,55453,89238
544,87863,33305
545,1932,76304
546,99110,78299
547,46935,52630
548,86145,79851
549,73117,74963
550,82317,50815
551,60827,42639
552,38064,41186
553,91098,77548
554,87048,30236
555,33264,30656
556,87907,45893
557,92066,90253
558,30479,98786
559,97531,74647
560,91440,71168
561,79363,45370
562,76867,40493
563,98883,97690
564,85427,75556
565,72099,85760
566,60496,53542
567,30382,84940
568,34945,92643
569,11787,52356
570,83015,31806
571,37319,97541
572,23724,90456
573,48195,84480
574,63559,89836
575,89169,45087
576,46026,95010
577,50212,37662
578,98146,14453
579,76644,73444
580,36830,40272
581,60026,77394
582,43016,46732
583,52277,31306
584,37687,72811
585,11079,37783
586,69423,35873
587,90319,48841
588,68821,75418
589,82372,37336
590,90584,70906
591,84162,51985
592,96626,78966
593,25802,53418
594,14813,97174
595,47562,38495
596,75796,71390
597,95309,95377
598,52321,44656
599,95422,73770
600,72100,36263
601,74247,73847
602,76796,31796
603,53286,77334
604,90445,70804
605,26020,35686
606,44805,53193
607,68792,75918
608,58785,71462
609,94138,82388
610,53787,48842
611,43211,83349
612,37265,94684
613,89053,44963
614,98923,75141
615,97449,31088
616,87980,93176
617,85769,48400
618,86212,45605
619,60051,70934
620,11741,42919
621,35033,82448
622,61314,35152
623,94643,80245
624,117240,37864
625,88621,46442
626,30562,53597
627,86125,33474
628,24083,48078
629,24633,37068
630,96547,48195
631,77599,46533
632,54222,37922
633,71432,31855
634,49287,78821
635,32562,33826
636,51847,50726
637,80480,98636
638,95377,72842
639,78448,44768
640,52100,77976
641,88366,30134
642,75154,86999
643,38579,38129
644,95122,41967
645,42330,42824
646,26552,80079
647,94278,88575
648,97551,47512
649,59582,36907
650,39220,30124
651,46793,90926
652,77269,30850
653,97941,84968
654,65481,30378
655,68083,45799
656,67362,45891
657,33510,52693
658,44660,41290
659,23578,96560
660,7687,71692
661,39019,35332
662,37177,35228
663,42013,77365
664,92075,79258
665,36639,75528
666,51774,96440
667,95293,48448
668,72343,43616
669,61883,77303
670,26361,34533
671,23554,35962
672,86143,93242
673,114766,30416
674,82388,54357
675,92643,82342
676,34201,82581
677,80274,82620
678,95155,48841
679,51845,70927
680,100089,52302
681,7036,48419
682,23274,48299
683,85988,44652
684,23556,49682
685,76717,45610
686,103003,30827
687,83696,83564
688,92604,37330
689,30490,93224
690,52952,76386
691,72343,85811
692,52264,72016
693,91106,33855
694,44623,39839
695,41634,68233
696,50242,81211
697,58306,75324
698,89260,35738
699,80006,73323
700,87410,47467
701,16239,52630
702,41483,75284
703,84208,52284
704,60080,30894
705,96804,72346
706,56765,72099
707,72873,54333
708,81328,45600
709,84557,36787
710,45183,44660
711,38970,53717
712,93243,74159
713,91431,48221
714,63216,97691
715,81111,44652
716,31775,32687
717,78238,52002
718,46968,69409
719,42913,97083
720,50805,39792
721,91280,82028
722,106266,47813
723,23568,73981
724,31716,30491
725,63406,51615
726,88189,70678
727,86370,38447
728,30479,53932
729,27287,75874
730,84860,75155
731,49279,95128
732,46730,49090
733,48431,93116
734,46029,39209
735,14722,37347
736,95115,45092
737,96478,91340
738,99335,30284
739,88754,88108
740,47029,49744
741,79857,79060
742,27651,80200
743,64966,46920
744,82926,42680
745,34293,95773
746,43172,39280
747,28795,50070
748,46228,93673
749,90713,53947
750,96798,51480
751,82718,88077
752,49034,98279
753,97084,94028
754,90910,31785
755,39536,44778
756,28605,72557
757,33515,30236
758,44275,30097
759,91874,97619
760,92810,88985
761,86046,36592
762,12779,38294
763,59169,32692
764,32348,37660
765,35004,35522
766,39173,54064
767,38104,71822
768,50977,76956
769,27301,84943
770,7093,86428
771,45303,53731
772,39493,81388
773,45994,30359
774,53370,86018
775,12742,94995
776,85496,47816
777,97603,42891
778,39438,45189
779,91408,36335
780,32002,80207
781,88505,47112
782,93433,80443
783,69402,42920
784,30338,86813
785,95575,70929
786,60319,88419
787,97018,78636
788,51336,96561
789,54827,53648
790,26476,38495
791,4724,52818
792,80974,38657
793,66291,30236
794,73221,45891
795,41288,93080
796,83260,51540
797,66162,73500
798,50521,86220
799,63279,78275
800,42119,47423
801,54238,90044
802,32881,51917
803,44801,96233
804,54019,53480
805,54932,84069
806,54202,94675
807,93979,54647
808,51481,33515
809,71720,8911
810,89105,98420
811,45120,93233
812,61218,54103
813,85049,45604
814,117569,38067
815,61859,81685
816,86265,78459
817,93720,48231
818,49395,74765
819,29082,86655
820,70118,77221
821,63471,78298
822,87944,51818
823,85376,97509
824,24190,91377
825,29416,52212
826,34116,72870
827,95372,77331
828,79834,85862
829,42913,44275
830,75746,87971
831,84397,35179
832,4373,46748
833,92604,53311
834,71430,35107
835,76717,48900
836,94166,53305
837,93985,79606
838,84665,35461
839,19107,32815
840,33216,98030
841,54272,76309
842,43480,46245
843,79829,91531
844,81328,33780
845,81748,39874
846,114559,95919
847,98500,30097
848,90713,32540
849,88839,54645
850,38084,86323
851,56312,34505
852,54202,31423
853,55845,52635
854,52172,49744
855,54181,92643
856,80835,51301
857,65849,45891
858,75937,61127
859,43544,15838
860,45476,78869
861,34986,39204
862,33368,48545
863,48569,52948
864,95250,33855
865,32839,82047
866,15932,98939
867,46543,88586
868,98288,39175
869,34815,39912
870,65539,33439
871,88418,71279
872,95579,88586
873,69749,71207
874,67872,82384
875,46490,81681
876,9301,45620
877,38724,44194
878,46462,30269
879,80722,92990
880,82914,98954
881,32942,34815
882,104222,78340
883,93944,93717
884,46924,55328
885,84187,90242
886,55282,98701
887,69765,79992
888,43927,36311
889,92844,47815
890,39241,89851
891,46330,35536
892,72869,48678
893,72344,31561
894,54263,35401
895,53699,80595
896,15586,47065
897,26871,82548
898,43608,96995
899,72856,79704
900,25794,53326
901,93924,30423
902,30200,53744
903,8005,89308
904,26413,36908
905,88107,36841
906,102509,79435
907,70678,99110
908,92360,81618
909,64829,75830
910,12154,51015
911,72419,79824
912,53611,47824
913,25533,37163
914,84857,39726
915,70273,88446
916,78574,50202
917,44157,72113
918,62608,74822
919,44389,89232
920,47801,91083
921,62603,75006
922,90206,33507
923,39438,47232
924,74670,41300
925,88356,43854
926,95090,63127
927,65842,84864
928,86391,76528
929,35937,39725
930,79475,79815
931,45994,44392
932,39156,44015
933,80006,95712
934,44534,52573
935,32537,50794
936,63298,75462
937,66600,90142
938,85496,88488
939,97174,84136
940,96273,50482
941,48291,81627
942,75867,42933
943,14077,54810
944,44850,93233
945,38866,47423
946,64469,45490
947,32533,44276
948,46844,42681
949,82066,45096
950,97482,72018
951,65479,45712
952,73519,51774
953,30129,86443
954,85897,48302
955,65280,33814
956,83187,96561
957,68866,96571
958,78966,44266
959,110075,53719
960,85094,34549
961,51369,45833
962,23360,84871
963,98915,32694
964,80820,58251
965,80593,92560
966,33966,87953
967,26591,38820
968,46579,42680
969,106880,35221
970,36639,98266
971,93263,96235
972,78608,31153
973,52661,48169
974,26682,33384
975,35034,90825
976,96571,79433
977,100838,53679
978,28976,77401
979,37987,48187
980,53834,44265
981,81364,52554
982,69891,43215
983,89660,30369
984,9321,93607
985,69980,32179
986,45174,95002
987,80370,34407
988,76976,44264
989,56298,92473
990,97884,37163
991,72860,91857
992,75740,78909
993,51499,70661
994,42762,90041
995,50428,59152
996,52563,98248
997,84860,33483
998,50138,47445
999,13230,89184
1000,87986,32947
1001,38364,39033
1002,33391,109541
1003,88504,34960
1004,84181,86845
1005,115517,77560
1006,13346,72869
1007,49113,37853
1008,63173,94488
1009,6949,49461
1010,71027,38063
1011,52226,47284
1012,117506,71196
1013,83617,33406
1014,95657,44660
1015,107184,37292
1016,98686,97344
1017,75764,51198
1018,88752,90859
1019,50132,43852
1020,9686,47064
1021,35469,32383
1022,45175,77742
1023,34141,95128
1024,84973,27913
1025,80512,33937
1026,100698,37532
1027,73811,50410
1028,40641,47377
1029,69095,32840
1030,88381,74701
1031,7663,32862
1032,34921,93892
1033,96028,72992
1034,76997,45600
1035,88175,47816
1036,95089,53724
1037,57598,75566
1038,80064,92810
1039,24149,51507
1040,75382,52533
1041,94558,84891
1042,77976,99137
1043,36624,32003
1044,38084,84891
1045,72869,23577
1046,75754,44142
1047,61641,98787
1048,92474,77531
1049,46450,95417
1050,84013,86046
1051,119697,95873
1052,92237,95122
1053,32540,86812
1054,41483,74004
1055,43355,40421
1056,91880,98933
1057,77445,46844
1058,56142,54676
1059,70931,54565
1060,90631,35881
1061,49975,94869
1062,51073,96442
1063,73113,46298
1064,101943,93176
1065,90419,95976
1066,69009,37917
1067,77401,74161
1068,6958,33383
1069,105842,37409
1070,70895,90546
1071,36639,43081
1072,31135,52426
1073,85608,80604
1074,77539,84712
1075,68751,50501
1076,13594,92751
1077,100788,33784
1078,87984,31407
1079,84688,39724
1080,47031,54544
1081,1050,41270
1082,74967,89944
1083,80383,49400
1084,56164,79979
1085,45300,44418
1086,78216,32205
1087,49860,52264
1088,51822,43136
1089,35033,54259
1090,52270,53087
1091,106303,31135
1092,88201,88586
1093,93431,84499
1094,48431,77360
1095,36065,85260
1096,38155,42961
1097,77832,77718
1098,72869,94958
1099,90338,74702
1100,87983,48219
1101,32153,34401
1102,89410,80233
1103,72886,98146
1104,48419,73038
1105,89741,54480
1106,84370,30379
1107,9660,82476
1108,94893,88503
1109,68934,46856
1111,41407,44281
1112,46315,82612
1113,37002,96560
1114,27600,39741
1115,47546,74998
1116,50242,43543
1117,51121,77902
1118,73221,39028
1119,83091,73841
1120,66655,42961
1121,91880,71821
1122,7896,44371
1123,27330,51604
1124,44865,44224
1125,41637,33341
1126,24175,87244
1127,95391,47577
1128,36777,49649
1129,107500,99050
1130,95303,72480
1131,85809,45860
1132,91209,97603
1133,92591,73707
1134,67874,53078
1135,87216,48192
1136,52470,75383
1137,95304,44784
1138,56472,84968
1139,25550,33332
1140,51229,50950
1141,98923,77276
1142,63962,37978
1143,46856,40444
1144,35962,34616
1145,26024,44433
1146,32863,39563
1147,94362,45337
1148,35897,36167
1149,6968,79992
1150,102300,77571
1151,76425,40790
1152,56915,52437
1153,80362,49744
1154,94616,94488
1155,10230,54102
1156,27858,74889
1157,89318,84511
1158,88851,74730
1159,36787,99556
1160,50520,52568
1161,89898,88577
1162,45141,31407
1163,82880,38348
1164,103758,31431
1165,80914,47897
1166,31743,45337
1167,38997,98741
1168,66272,96555
1169,85541,84964
1170,85098,79304
1171,97603,97845
1172,77110,74100
1173,44587,88431
1174,49600,96358
1175,80970,48431
1176,77347,72448
1177,65280,72267
1178,92427,32765
1179,95368,40432
1180,99654,96121
1181,46351,81004
1182,85885,31806
1183,36238,47070
1184,41704,86743
1185,41401,78275
1186,96006,78925
1187,37066,37141
1188,47068,45707
1189,83731,84956
1190,54351,76908
1191,13046,30621
1192,95375,98648
1193,46839,48400
1194,50848,81658
1195,80800,78216
1196,92979,45600
1197,89438,74647
1198,52564,44219
1199,4960,72800
1200,82892,50779
1201,67755,97185
1202,44666,41486
1203,25593,86738
1204,95115,34157
1205,87984,77970
1206,47802,36300
1208,38377,28450
1209,85811,90240
1210,54596,97446
1211,75696,84860
1212,51940,84503
1213,115587,46920
1214,94196,93211
1215,77977,38169
1216,31586,77357
1217,67654,36447
1218,30769,50733
1219,41839,47261
1220,56825,88586
1221,39528,72796
1222,40972,94870
1223,48332,40826
1224,87411,88548
1225,23551,79414
1226,34117,86737
1227,51846,97172
1228,66686,45149
1229,93979,37169
1230,35523,42816
1231,103403,75376
1232,115839,92979
1233,99716,43321
1234,30579,48556
1235,72042,38129
1236,102931,79293
1237,67003,79922
1238,92152,78967
1239,85312,52449
1240,65358,84964
1241,110213,92397
1242,48686,33873
1243,11897,47232
1244,39404,95010
1245,35506,42746
1246,66162,37330
1247,98852,83600
1248,83261,79705
1249,55686,54747
1250,53515,37848
1251,86600,87943
1252,33278,79704
1253,95577,36067
1254,88728,44398
1255,90917,35089
1256,47912,92807
1257,32622,40302
1258,27847,44193
1259,19558,30236
1260,90529,98146
1261,34815,93644
1262,44190,80394
1263,54133,80164
1264,73914,61154
1265,30592,85814
1266,43566,85863
1267,68097,46431
1268,39218,89223
1269,43321,77597
1270,52554,32974
1271,76725,53632
1272,50989,80006
1273,32555,36046
1274,69475,54810
1275,65742,45407
1276,84216,46704
1277,66184,37080
1278,2505,48220
1279,92761,46245
1280,93426,89903
1281,95283,43616
1282,44171,50122
1283,1370,45343
1284,39412,40492
1285,11257,71327
1286,89360,84732
1287,69423,95423
1288,44128,96062
1289,112599,52568
1290,98777,81178
1291,90213,50418
1292,73221,71131
1293,79760,52419
1294,56182,44621
1295,5534,82328
1296,59558,30235
1297,33903,44434
1298,94607,30865
1299,118498,52636
1300,92105,37288
1301,34418,30815
1302,83580,89852
1303,77130,36909
1304,28444,71032
1305,33222,74448
1306,98904,69320
1307,69695,78275
1308,79834,89936
1309,66920,45942
1310,77051,53285
1311,103063,73869
1312,58846,45419
1313,14812,39629
1314,63225,43173
1315,39496,33382
1316,69409,30512
1317,88177,46297
1318,15783,29957
1319,67976,35790
1320,56678,37761
1321,46797,52016
1322,42330,74130
1323,80717,48078
1324,78238,37209
1325,62763,96550
1326,100838,76358
1327,75419,97175
1328,48726,37163
1329,88001,88052
1330,26017,82150
1331,37294,51917
1332,43747,78298
1333,87471,37288
1334,36232,38480
1335,95386,85724
1336,48944,30341
1337,42565,37147
1338,39412,77624
1339,90594,78238
1340,53806,92997
1341,75871,95926
1342,84688,44260
1343,49795,86835
1344,77828,30363
1345,39361,69549
1346,71029,53493
1347,29589,44754
1348,45405,45109
1349,36824,40520
1350,91308,72881
1351,55627,88987
1352,90076,95136
1353,39536,43866
1354,41554,31743
1355,98501,87271
1356,87984,74377
1357,28879,88577
1358,99352,47661
1359,23703,44398
1360,93066,93097
1361,16020,75326
1362,90934,38511
1363,62944,80408
1364,24721,50209
1365,36612,89240
1366,58009,91684
1367,95520,52367
1368,42746,73866
1369,75131,51726
1370,42903,98754
1371,77979,93969
1372,100835,46914
1373,61275,84733
1374,92162,98933
1375,45893,78466
1376,99490,75733
1377,30567,77371
1378,65491,90796
1379,76718,82392
1380,55658,32426
1381,75927,92164
1382,45141,73320
1383,95378,93233
1384,83617,49759
1385,94148,54676
1386,94630,82463
1387,78172,73337
1388,66309,84564
1389,52563,54465
1390,50242,71124
1391,92814,93962
1392,119218,49746
1393,84361,72812
1394,6942,72750
1395,65925,35604
1396,98923,90002
1397,85496,40615
1398,42952,81793
1399,97921,72689
1400,86829,76740
1401,91190,41277
1402,67441,78776
1403,81007,83927
1404,63283,48027
1405,37849,91112
1406,48602,76040
1407,72343,78794
1408,87042,38394
1409,53286,77886
1410,13366,44417
1411,33309,72113
1412,8032,47963
1413,12716,77974
1414,31645,48850
1415,102699,45331
1416,47867,53344
1417,32679,39422
1418,46491,52718
1419,76408,46122
1420,53285,57061
1421,98903,87450
1422,95579,52818
1423,28890,48540
1424,81109,93244
1425,45524,90796
1426,35791,85807
1427,45293,38465
1428,93426,77371
1429,80393,88418
1430,48693,94357
1431,84246,49357
1432,78216,77718
1433,23219,86429
1434,32348,98889
1435,119794,44570
1436,47094,60437
1437,39775,90187
1438,37538,56673
1439,80592,57055
1440,68013,75490
1441,54199,97172
1442,96144,93200
1443,85769,77976
1444,99110,84861
1445,114560,45409
1446,14477,71029
1447,97143,84861
1448,98500,86127
1449,95255,75631
1450,96024,30236
1451,32536,35954
1452,92289,41137
1453,91371,43172
1454,81682,85800
1455,66291,49537
1456,48191,87290
1457,68149,85208
1458,54236,79951
1459,94924,93892
1460,45893,74647
1461,33409,71720
1462,30484,89827
1463,29365,72842
1464,98841,84719
1465,61166,30236
1466,51010,84688
1467,53761,52568
1468,30459,88266
1469,85824,47371
1470,94608,95127
1471,63957,82342
1472,36237,71298
1473,72512,31962
1474,36830,89240
1475,81272,46351
1476,80980,37436
1477,88505,78744
1478,66236,81336
1479,66680,54420
1480,15789,96571
1481,87887,95499
1482,58804,29998
1483,22743,91389
1484,99840,49097
1485,94218,75788
1486,44451,43480
1487,66448,48196
1488,45891,79704
1489,93259,86024
1490,30379,90083
1491,46973,49621
1492,101954,88107
1493,66024,97178
1494,62970,77976
1495,24133,47787
1496,51846,48078
1497,49135,44435
1498,48353,78535
1499,100263,70662
1500,42230,80178
1501,107880,72544
1502,50362,46320
1503,80844,32454
1504,94576,49372
1505,34966,51748
1506,80974,30139
1507,61572,85695
1508,48193,48217
1509,81154,45707
1510,115666,75336
1511,93426,84092
1512,78013,33855
1513,56528,52417
1514,35116,92071
1515,90612,74974
1516,32168,52914
1517,114416,91501
1518,82647,52159
1519,102513,40616
1520,112344,53540
1521,93968,47221
1522,45405,94472
1523,29938,81386
1524,78542,36939
1525,107631,48283
1526,34999,45287
1527,52683,79218
1528,83284,39382
1529,87235,46648
1530,87976,81178
1531,68275,35722
1532,43459,99527
1533,67663,75504
1534,42759,50501
1535,101058,33270
1536,92684,45287
1537,35611,43158
1538,42979,79841
1539,52264,98873
1540,49372,93969
1541,100382,81319
1542,69836,78744
1543,23091,72346
1544,52987,72054
1545,107891,96561
1546,13347,39899
1547,53719,92881
1548,57071,52752
1549,88455,48516
1550,56523,92663
1551,33336,97720
1552,80659,46697
1553,89290,39720
1554,95010,77034
1555,42753,35521
1556,93068,97549
1557,101961,84964
1558,7799,97070
1559,94166,34339
1560,98909,98370
1561,42453,46298
1562,95887,78951
1563,100158,93066
1564,99728,98639
1565,46732,98231
1566,28120,50779
1567,95370,88107
1568,90514,75564
1569,79834,84643
1570,52007,49325
1571,54970,45106
1572,91954,70684
1573,14740,54272
1574,96911,84953
1575,56527,94979
1576,28689,90200
1577,79886,50989
1578,94479,32428
1579,44454,93307
1580,21862,39783
1581,118708,86050
1582,67555,74180
1583,94278,45483
1584,47561,81007
1585,88940,72572
1586,84684,51599
1587,55691,45114
1588,41646,97168
1589,77535,92643
1590,84939,93233
1591,94638,85318
1592,67086,88309
1593,90920,29986
1594,81924,42975
1595,7606,37091
1596,119385,30284
1597,98804,98146
1598,26084,81503
1599,60387,81807
1600,96828,47405
1601,107519,84536
1602,54376,84968
1603,100728,82407
1604,65406,78977
1605,42831,66293
1606,92289,77886
1607,90338,38509
1608,82533,30377
1609,98452,44417
1610,26176,70869
1611,76897,87271
1612,46541,43548
1613,94722,43604
1614,84327,51234
1615,42331,29978
1616,29399,50083
1617,13003,45322
1618,78275,48211
1620,54747,74079
1621,80636,50206
1622,75962,30452
1623,91190,97690
1624,81673,88577
1625,37177,51643
1626,94608,43862
1627,46834,77272
1628,42577,97603
1629,72363,48540
1630,37894,38273
1631,99435,39737
1632,32784,70847
1633,85053,52635
1634,47726,49649
1635,87817,74317
1636,85820,33784
1637,67135,93066
1638,48943,79039
1639,81244,35969
1640,49581,44816
1641,28205,50083
1642,39098,38689
1643,46504,33029
1644,99385,36368
1645,67236,38064
1646,43846,50820
1647,44754,51298
1648,53048,46763
1649,116759,85807
1650,87312,35586
1651,52215,72940
1652,52537,53719
1653,33152,30162
1654,50575,52356
1655,115806,38781
1656,80511,72253
1657,93096,30129
1658,80479,77976
1659,88239,74405
1660,88379,88042
1661,75867,33911
1662,86835,98288
1663,100728,43838
1664,27552,99131
1665,98743,45894
